system_id,system_name,status,expected_hospital_count_total,expected_acute_hospital_count,expected_system_bed_count,expected_physician_count,expected_linked_hospital_rows,expected_linked_acute_rows,actual_hospital_count_total,actual_acute_hospital_count,actual_system_bed_count,actual_physician_count,actual_linked_hospital_rows,actual_linked_acute_rows
HSI00001177,University of Michigan Health System,pass,8,7,1697,4892,8,7,8,7,1697,4892,8,7
HSI00001178,University of Missouri Health Care,pass,5,4,621,1440,5,4,5,4,621,1440,5,4
HSI00001179,University of Rochester Medical Center,pass,6,6,1254,2434,6,6,6,6,1254,2434,6,6
HSI00001180,University of South Alabama Hospitals,pass,3,3,858,774,3,3,3,3,858,774,3,3
HSI00001181,University of Southern California,pass,4,3,767,1429,4,3,4,3,767,1429,4,3
HSI00001184,University of Utah Hospitals and Clinics,pass,2,1,616,1802,2,1,2,1,616,1802,2,1
HSI00001185,University of Vermont Health Network,pass,6,6,908,1554,6,6,6,6,908,1554,6,6
HSI00001186,University of Virginia Health System,pass,5,4,885,1636,5,4,5,4,885,1636,5,4
HSI00001188,Upper Peninsula Health Care Solutions,pass,4,4,72,90,4,4,4,4,72,90,4,4
HSI00001213,VCU Health System,pass,6,3,965,1476,6,3,6,3,965,1476,6,3
HSI00001214,Vail Health,pass,1,1,54,100,1,1,1,1,54,100,1,1
HSI00001217,Valley Health,pass,6,6,580,376,6,6,6,6,580,376,6,6
HSI00001218,Valley Health System,pass,1,1,385,369,1,1,1,1,385,369,1,1
HSI00001219,Valley Health Systems,pass,1,1,201,150,1,1,1,1,201,150,1,1
HSI00001222,Vanderbilt Health,pass,4,4,1292,2538,4,4,4,4,1292,2538,4,4
HSI00001223,Ventura County Health Care Agency,pass,1,1,272,358,1,1,1,1,272,358,1,1
HSI00001230,ECU Health,pass,9,9,1367,1138,9,9,9,9,1367,1138,9,9
HSI00001233,Virtua Health,pass,5,5,1329,1032,5,5,5,5,1329,1032,5,5
HSI00001236,WakeMed Health and Hospitals,pass,2,2,839,513,2,2,2,2,839,513,2,2
HSI00001238,Washington Health System,pass,2,2,232,151,2,2,2,2,232,151,2,2
HSI00001239,Washington Hospital Healthcare System,pass,1,1,415,148,1,1,1,1,415,148,1,1
HSI00001240,Washington Regional,pass,1,1,377,161,1,1,1,1,377,161,1,1
HSI00001242,Wayne Memorial Health System,pass,1,1,92,55,1,1,1,1,92,55,1,1
HSI00001243,Wellspan Health,pass,8,6,1160,1380,8,6,8,6,1160,1380,8,6
HSI00001244,WellStar Health System,pass,9,8,1882,1566,9,8,9,8,1882,1566,9,8
HSI00001250,West Tennessee Healthcare,pass,8,7,824,253,8,7,8,7,824,253,8,7
HSI00001251,West Virginia University Health System,pass,23,22,2370,2335,23,22,23,22,2370,2335,23,22
HSI00001252,WMC Health,pass,8,7,1230,1003,8,7,8,7,1230,1003,8,7
HSI00001253,Nuvance Health,pass,7,7,1086,1031,7,7,7,7,1086,1031,7,7
HSI00001260,White River Health System,pass,2,2,195,90,2,2,2,2,195,90,2,2
HSI00001263,Willis Knighton Health System,pass,3,3,720,404,3,3,3,3,720,404,3,3
HSI00001264,Winona Health,pass,1,1,41,63,1,1,1,1,41,63,1,1
HSI00001269,Witham Health Services,pass,1,1,50,93,1,1,1,1,50,93,1,1
HSI00001272,Yale New Haven Health System,pass,7,7,2228,3683,7,7,7,7,2228,3683,7,7
HSI00001274,York Hospital,pass,1,1,54,94,1,1,1,1,54,94,1,1
HSI00001275,Yuma Regional Medical Center,pass,1,1,430,203,1,1,1,1,430,203,1,1
HSI00001281,Astria Health System,pass,2,2,72,70,2,2,2,2,72,70,2,2
HSI00001283,Auburn Community Hospital,pass,1,1,85,71,1,1,1,1,85,71,1,1
HSI00001284,Ballad Health,pass,22,21,1635,744,22,21,22,21,1635,744,22,21
HSI00001286,Bristol Hospital,pass,1,1,123,89,1,1,1,1,123,89,1,1
HSI00001287,Broadlawns Medical Center,pass,1,1,113,133,1,1,1,1,113,133,1,1
HSI00001288,Brookdale University Hospital And Medical Center,pass,1,1,498,243,1,1,1,1,498,243,1,1
HSI00001301,Cuyuna Regional Medical Center,pass,2,2,25,58,2,2,2,2,25,58,2,2
HSI00001309,Goshen Health,pass,1,1,103,104,1,1,1,1,103,104,1,1
HSI00001314,Hancock Regional Hospital,pass,1,1,113,89,1,1,1,1,113,89,1,1
HSI00001319,Holland Hospital,pass,1,1,189,107,1,1,1,1,189,107,1,1
HSI00001324,Indiana Regional Medical Center,pass,1,1,134,95,1,1,1,1,134,95,1,1
HSI00001334,Mountain View Hospital,pass,1,1,43,50,1,1,1,1,43,50,1,1
HSI00001338,Northeastern Health System,pass,2,2,121,74,2,2,2,2,121,74,2,2
HSI00001341,Parkview Medical Center,pass,1,1,253,204,1,1,1,1,253,204,1,1
HSI00001350,Salem Regional Medical Center,pass,1,1,87,50,1,1,1,1,87,50,1,1
HSI00001351,San Francisco Health Network,pass,2,1,284,728,2,1,2,1,284,728,2,1
