drg_code,service_line
370,Gastroenterology
371,Gastroenterology
372,Gastroenterology
373,Gastroenterology
374,Gastroenterology
375,Gastroenterology
376,Gastroenterology
377,Gastroenterology
378,Gastroenterology
379,Gastroenterology
380,Gastroenterology
381,Gastroenterology
382,Gastroenterology
383,Gastroenterology
384,Gastroenterology
385,Gastroenterology
386,Gastroenterology
387,Gastroenterology
388,Gastroenterology
389,Gastroenterology
390,Gastroenterology
391,Gastroenterology
392,Gastroenterology
393,Gastroenterology
394,Gastroenterology
395,Gastroenterology
405,Endocrine / Metabolic
406,Endocrine / Metabolic
407,Endocrine / Metabolic
408,Endocrine / Metabolic
409,Endocrine / Metabolic
410,Endocrine / Metabolic
411,Endocrine / Metabolic
412,Endocrine / Metabolic
413,Endocrine / Metabolic
414,Endocrine / Metabolic
415,Endocrine / Metabolic
416,Endocrine / Metabolic
417,Endocrine / Metabolic
418,Endocrine / Metabolic
419,Endocrine / Metabolic
420,Endocrine / Metabolic
421,Endocrine / Metabolic
422,Endocrine / Metabolic
423,Endocrine / Metabolic
424,Endocrine / Metabolic
425,Endocrine / Metabolic
432,Endocrine / Metabolic
433,Endocrine / Metabolic
434,Endocrine / Metabolic
435,Endocrine / Metabolic
436,Endocrine / Metabolic
437,Endocrine / Metabolic
438,Endocrine / Metabolic
439,Endocrine / Metabolic
440,Endocrine / Metabolic
441,Endocrine / Metabolic
442,Endocrine / Metabolic
443,Endocrine / Metabolic
444,Endocrine / Metabolic
445,Endocrine / Metabolic
446,Endocrine / Metabolic
453,Orthopedics
454,Orthopedics
455,Orthopedics
456,Orthopedics
457,Orthopedics
458,Orthopedics
459,Orthopedics
460,Orthopedics
461,Orthopedics
462,Orthopedics
463,Orthopedics
464,Orthopedics
465,Orthopedics
466,Orthopedics
467,Orthopedics
468,Orthopedics
469,Orthopedics
470,Orthopedics
471,Orthopedics
472,Orthopedics
473,Orthopedics
474,Orthopedics
475,Orthopedics
476,Orthopedics
477,Orthopedics
478,Orthopedics
479,Orthopedics
480,Orthopedics
481,Orthopedics
482,Orthopedics
483,Orthopedics
484,Orthopedics
485,Orthopedics
486,Orthopedics
487,Orthopedics
488,Orthopedics
489,Orthopedics
490,Orthopedics
491,Orthopedics
492,Orthopedics
493,Orthopedics
494,Orthopedics
495,Orthopedics
496,Orthopedics
497,Orthopedics
498,Orthopedics
499,Orthopedics
500,Orthopedics
501,Orthopedics
502,Orthopedics
503,Orthopedics
504,Orthopedics
505,Orthopedics
506,Orthopedics
507,Orthopedics
508,Orthopedics
509,Orthopedics
510,Orthopedics
511,Orthopedics
512,Orthopedics
513,Orthopedics
514,Orthopedics
515,Orthopedics
516,Orthopedics
517,Orthopedics
533,General Surgery
534,General Surgery
535,General Surgery
536,General Surgery
537,General Surgery
538,General Surgery
539,General Surgery
540,General Surgery
541,General Surgery
542,General Surgery
543,General Surgery
544,General Surgery
545,General Surgery
546,General Surgery
547,General Surgery
548,General Surgery
549,General Surgery
550,General Surgery
551,General Surgery
552,General Surgery
553,General Surgery
554,General Surgery
555,General Surgery
556,General Surgery
557,General Surgery
558,General Surgery
559,General Surgery
560,General Surgery
561,General Surgery
562,General Surgery
563,General Surgery
564,General Surgery
565,General Surgery
566,General Surgery
570,Endocrine / Metabolic
571,Endocrine / Metabolic
572,Endocrine / Metabolic
573,Endocrine / Metabolic
574,Endocrine / Metabolic
575,Endocrine / Metabolic
576,Endocrine / Metabolic
577,Endocrine / Metabolic
578,Endocrine / Metabolic
579,Endocrine / Metabolic
580,Endocrine / Metabolic
581,Endocrine / Metabolic
582,Endocrine / Metabolic
583,Endocrine / Metabolic
584,Endocrine / Metabolic
585,Endocrine / Metabolic
592,Endocrine / Metabolic
593,Endocrine / Metabolic
594,Endocrine / Metabolic
595,Endocrine / Metabolic
596,Endocrine / Metabolic
597,Endocrine / Metabolic
598,Endocrine / Metabolic
599,Endocrine / Metabolic
600,Endocrine / Metabolic
601,Endocrine / Metabolic
602,Endocrine / Metabolic
603,Endocrine / Metabolic
604,Endocrine / Metabolic
605,Endocrine / Metabolic
606,Endocrine / Metabolic
607,Endocrine / Metabolic
614,Renal / Urology
615,Renal / Urology
616,Renal / Urology
617,Renal / Urology
618,Renal / Urology
619,Renal / Urology
620,Renal / Urology
621,Renal / Urology
622,Renal / Urology
623,Renal / Urology
624,Renal / Urology
625,Renal / Urology
626,Renal / Urology
627,Renal / Urology
628,Renal / Urology
629,Renal / Urology
630,Renal / Urology
637,Renal / Urology
638,Renal / Urology
639,Renal / Urology
640,Renal / Urology
641,Renal / Urology
642,Renal / Urology
